xy
"152:113.083874,23.449690==>113.077332977915,23.443814019672"
"153:113.143874,23.389690==>113.137415409619,23.383564569871"
"154:113.803874,23.329690==>113.797333106026,23.323814864329"
"155:113.563874,23.389690==>113.557362301455,23.383821115261"
"156:113.263874,23.449690==>113.257385672074,23.443558775667"
"157:113.443874,23.089690==>113.437333370321,23.083814484868"
"158:113.863874,23.209690==>113.857385389762,23.203558146994"
"159:113.863874,23.809690==>113.857386086512,23.803558060268"
"160:113.503874,22.849690==>113.497384974042,22.843558597365"
"161:113.623874,23.209690==>113.617385391199,23.203558412414"
"162:113.323874,23.449690==>113.31733297683,23.443814295554"
"163:113.263874,23.149690==>113.257415143092,23.143564404687"
"164:113.623874,23.569690==>113.617385809229,23.563558360282"
"165:113.743874,23.449690==>113.737385669135,23.443558244966"
"166:113.323874,23.089690==>113.317333370842,23.08381434697"
"167:113.443874,22.849690==>113.437333633101,22.843814519169"
"168:113.803874,23.629690==>113.79736202662,23.623821404879"
"169:113.623874,23.329690==>113.617385530523,23.323558395028"
"170:113.743874,23.509690==>113.737415546945,23.503563885722"
"171:113.323874,22.969690==>113.317333502217,22.963814364128"
"172:113.263874,23.269690==>113.257415276731,23.263564417581"
"173:113.383874,23.149690==>113.377415143818,23.143564265321"
"174:113.743874,23.389690==>113.737415413301,23.383563872911"
"175:113.563874,22.789690==>113.557362991126,22.783821052354"
"176:113.503874,23.089690==>113.497385252608,23.083558562523"
"177:113.503874,23.029690==>113.497415010882,23.023564113091"
"178:113.383874,22.849690==>113.377384974747,22.843558730095"
"179:113.863874,23.569690==>113.857385807755,23.563558094931"
"180:113.803874,23.509690==>113.797362164577,23.503821392368"
"181:113.863874,23.929690==>113.857386225919,23.92355804295"
"182:113.863874,23.329690==>113.857385529074,23.32355812963"
"183:113.203874,23.509690==>113.197362161854,23.503820731027"
"184:112.903874,23.269690==>112.897415274522,23.263564835764"
"185:113.143874,23.149690==>113.137415142364,23.143564544058"
"186:112.843874,23.209690==>112.837333241616,23.203813778125"
"187:113.143874,22.849690==>113.137384976163,22.843558995537"
"188:112.903874,23.089690==>112.897385256213,23.083559225996"
"189:113.203874,22.909690==>113.197362851661,22.903820667923"
"190:113.143874,23.209690==>113.137385394096,23.203558943183"
"191:113.203874,23.089690==>113.197333371366,23.083814209067"
"192:113.143874,23.269690==>113.137415275996,23.263564556969"
"193:112.783874,22.849690==>112.7773849783,22.843559393655"
"194:112.963874,22.909690==>112.957362850619,22.903820403265"
"195:112.963874,23.149690==>112.957362574699,23.143820428602"
"196:112.843874,22.969690==>112.837333504297,22.963813812524"
"197:113.023874,23.149690==>113.017415141635,23.143564683436"
"198:112.783874,22.969690==>112.777385117611,22.963559376159"
"199:113.143874,22.729690==>113.13738483689,22.723559013007"
"200:112.903874,23.209690==>112.897385395556,23.203559208531"
"201:113.203874,22.849690==>113.197333634121,22.843814243415"
"202:113.203874,22.729690==>113.197333765527,22.723814260603"
"203:113.023874,22.969690==>113.017385116171,22.963559110777"
"204:113.143874,22.789690==>113.137414741411,22.78356450527"
"205:113.023874,23.209690==>113.017385394825,23.20355907586"
"206:113.143874,22.909690==>113.137414875072,22.903564518209"
"207:112.483874,22.729690==>112.477333768598,22.723813433264"
"208:112.963874,22.849690==>112.95733363515,22.843813967636"
"209:113.143874,23.029690==>113.137415008723,23.023564531138"
"210:112.603874,22.789690==>112.597362987007,22.783819993593"
"211:112.543874,22.789690==>112.537414737836,22.783565201972"
